dataset,fold,granularity,meta_learner,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,gated_auc,gated_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,stacked_ece,delta_ece_vs_stack,ece_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm
assist2017,4,concept,linear_gating,simplekt,valid,177767,341,cluster,0.76606,0.036879,0.757588,0.008472,0.007013,0.009934,0.001,0.030158,0.006721,0.017991,0.772106,-0.006046,-0.006709,-0.005401,0.001,0.007563,0.029317,0.001,0.015,True,0.017991,True,0.015,True,0.015,True
algebra2005,0,concept,static_concept_weights,simplekt,valid,134674,114,cluster,0.931894,0.005848,0.92167,0.010224,0.009065,0.011371,0.001,0.023673,-0.017826,0.001,0.930244,0.00165,0.001154,0.002111,0.001,0.006775,-0.000927,0.454773,0.015,True,0.015,True,0.015,True,1.0,False
algebra2005,0,concept,global_stack_concept_intercept,simplekt,valid,134674,114,cluster,0.93046,0.006692,0.92167,0.00879,0.007777,0.009805,0.001,0.023673,-0.016981,0.001,0.930244,0.000216,-4.4e-05,0.000464,0.098951,0.006775,-8.3e-05,0.956522,0.015,True,0.015,True,0.098951,False,1.0,False
algebra2005,0,concept,linear_gating,simplekt,valid,134674,114,cluster,0.925503,0.022046,0.92167,0.003833,0.002743,0.004873,0.001,0.023673,-0.001627,0.667666,0.930244,-0.004741,-0.005339,-0.004203,0.001,0.006775,0.015271,0.015992,0.015,True,1.0,False,0.015,True,0.17591199999999999,False
algebra2005,1,concept,static_concept_weights,dkt,valid,134674,114,cluster,0.930502,0.006174,0.919094,0.011408,0.01058,0.012302,0.001,0.006517,-0.000343,0.985507,0.928356,0.002146,0.001778,0.002501,0.001,0.006756,-0.000581,0.663668,0.015,True,1.0,False,0.015,True,1.0,False
algebra2005,1,concept,global_stack_concept_intercept,dkt,valid,134674,114,cluster,0.92887,0.005734,0.919094,0.009776,0.009081,0.01055,0.001,0.006517,-0.000783,0.92054,0.928356,0.000514,0.000175,0.000835,0.003998,0.006756,-0.001022,0.14093,0.015,True,1.0,False,0.015,True,1.0,False
algebra2005,1,concept,linear_gating,dkt,valid,134674,114,cluster,0.923903,0.02709,0.919094,0.004809,0.003897,0.005814,0.001,0.006517,0.020573,0.001,0.928356,-0.004453,-0.004945,-0.003884,0.001,0.006756,0.020334,0.003998,0.015,True,0.015,True,0.015,True,0.047976,True
algebra2005,2,concept,static_concept_weights,simplekt,valid,134674,114,cluster,0.931982,0.004561,0.922659,0.009323,0.00834,0.010288,0.001,0.029509,-0.024948,0.001,0.930254,0.001728,0.001355,0.002066,0.001,0.005551,-0.000991,0.345827,0.015,True,0.015,True,0.015,True,1.0,False
algebra2005,2,concept,global_stack_concept_intercept,simplekt,valid,134674,114,cluster,0.930499,0.005265,0.922659,0.007839,0.006918,0.008707,0.001,0.029509,-0.024244,0.001,0.930254,0.000245,0.000107,0.000385,0.001999,0.005551,-0.000286,0.566717,0.015,True,0.015,True,0.015,True,1.0,False
algebra2005,2,concept,linear_gating,simplekt,valid,134674,114,cluster,0.927246,0.034117,0.922659,0.004587,0.003935,0.005257,0.001,0.029509,0.004608,0.001999,0.930254,-0.003008,-0.003387,-0.002607,0.001,0.005551,0.028565,0.001,0.015,True,0.015,True,0.015,True,0.015,True
algebra2005,3,concept,static_concept_weights,simplekt,valid,134674,114,cluster,0.932104,0.002634,0.923337,0.008767,0.007733,0.009749,0.001,0.029115,-0.026481,0.001,0.930304,0.0018,0.001313,0.002205,0.001,0.001564,0.00107,0.723638,0.015,True,0.015,True,0.015,True,1.0,False
algebra2005,3,concept,global_stack_concept_intercept,simplekt,valid,134674,114,cluster,0.930767,0.002366,0.923337,0.00743,0.006493,0.008337,0.001,0.029115,-0.026749,0.001,0.930304,0.000463,0.000256,0.000665,0.001,0.001564,0.000802,0.962519,0.015,True,0.015,True,0.015,True,1.0,False
algebra2005,3,concept,linear_gating,simplekt,valid,134674,114,cluster,0.927625,0.031136,0.923337,0.004289,0.003609,0.004918,0.001,0.029115,0.002021,0.389805,0.930304,-0.002679,-0.003035,-0.002295,0.001,0.001564,0.029572,0.001,0.015,True,1.0,False,0.015,True,0.015,True
algebra2005,4,concept,static_concept_weights,dkt,valid,134674,114,cluster,0.931189,0.002393,0.920485,0.010704,0.009849,0.011635,0.001,0.006696,-0.004303,0.013993,0.929469,0.00172,0.000909,0.002316,0.001,0.002459,-6.6e-05,0.750625,0.015,True,0.083958,False,0.015,True,1.0,False
algebra2005,4,concept,global_stack_concept_intercept,dkt,valid,134674,114,cluster,0.929999,0.001815,0.920485,0.009514,0.008769,0.010334,0.001,0.006696,-0.004882,0.016992,0.929469,0.00053,0.000309,0.000762,0.001,0.002459,-0.000645,0.510745,0.015,True,0.08496000000000001,False,0.015,True,1.0,False
algebra2005,4,concept,linear_gating,dkt,valid,134674,114,cluster,0.92506,0.021112,0.920485,0.004574,0.003781,0.0055,0.001,0.006696,0.014416,0.001,0.929469,-0.00441,-0.004997,-0.003862,0.001,0.002459,0.018653,0.001,0.015,True,0.015,True,0.015,True,0.015,True
bridge2algebra2006,0,concept,static_concept_weights,simplekt,valid,353631,229,cluster,0.821111,0.003242,0.808154,0.012958,0.011837,0.014072,0.001,0.008748,-0.005506,0.012994,0.820759,0.000352,-0.000341,0.000998,0.304848,0.003129,0.000113,0.762619,0.015,True,0.077964,False,0.609696,False,1.0,False
bridge2algebra2006,0,concept,global_stack_concept_intercept,simplekt,valid,353631,229,cluster,0.821643,0.00299,0.808154,0.013489,0.012391,0.014535,0.001,0.008748,-0.005758,0.001,0.820759,0.000883,0.000482,0.00131,0.001,0.003129,-0.000139,0.650675,0.015,True,0.015,True,0.015,True,1.0,False
bridge2algebra2006,0,concept,linear_gating,simplekt,valid,353631,229,cluster,0.80471,0.036788,0.808154,-0.003443,-0.004714,-0.002184,0.001,0.008748,0.02804,0.001,0.820759,-0.016049,-0.017066,-0.015102,0.001,0.003129,0.033659,0.001,0.015,True,0.015,True,0.015,True,0.015,True
bridge2algebra2006,1,concept,static_concept_weights,akt,valid,353631,229,cluster,0.822941,0.004135,0.807108,0.015833,0.014107,0.017547,0.001,0.006646,-0.002512,0.12094,0.822468,0.000472,-0.000186,0.001157,0.15992,0.003673,0.000461,0.398801,0.015,True,0.29985,False,0.47976,False,1.0,False
bridge2algebra2006,1,concept,global_stack_concept_intercept,akt,valid,353631,229,cluster,0.822991,0.002856,0.807108,0.015883,0.014133,0.017614,0.001,0.006646,-0.00379,0.069965,0.822468,0.000522,0.00016,0.000887,0.004998,0.003673,-0.000817,0.217891,0.015,True,0.29985,False,0.029988,True,1.0,False
bridge2algebra2006,1,concept,linear_gating,akt,valid,353631,229,cluster,0.806904,0.042585,0.807108,-0.000204,-0.002261,0.001685,0.853573,0.006646,0.035939,0.001,0.822468,-0.015565,-0.016509,-0.014662,0.001,0.003673,0.038912,0.001,0.853573,False,0.015,True,0.015,True,0.015,True
bridge2algebra2006,2,concept,static_concept_weights,akt,valid,353631,229,cluster,0.822379,0.005171,0.807853,0.014526,0.013102,0.015827,0.001,0.007181,-0.00201,0.297851,0.822513,-0.000133,-0.000795,0.000553,0.711644,0.003611,0.00156,0.076962,0.015,True,0.29985,False,0.711644,False,0.76962,False
bridge2algebra2006,2,concept,global_stack_concept_intercept,akt,valid,353631,229,cluster,0.822933,0.003803,0.807853,0.01508,0.01342,0.016612,0.001,0.007181,-0.003378,0.076962,0.822513,0.000421,0.000107,0.000739,0.011994,0.003611,0.000192,0.9995,0.015,True,0.29985,False,0.059969999999999996,False,1.0,False
bridge2algebra2006,2,concept,linear_gating,akt,valid,353631,229,cluster,0.806838,0.037039,0.807853,-0.001015,-0.002917,0.000754,0.246877,0.007181,0.029858,0.001,0.822513,-0.015675,-0.016648,-0.01478,0.001,0.003611,0.033428,0.001,0.740631,False,0.015,True,0.015,True,0.015,True
bridge2algebra2006,3,concept,static_concept_weights,akt,valid,353631,229,cluster,0.820311,0.005135,0.806142,0.014169,0.012762,0.015502,0.001,0.006656,-0.001521,0.05997,0.819399,0.000913,0.000226,0.001624,0.013993,0.004295,0.000839,0.234883,0.015,True,0.29985,False,0.059969999999999996,False,1.0,False
