dataset,fold,scheme,seed,auc,static_auc,lift_vs_static
assist2017,1,moe,4,0.764691,0.771435,-0.006745
assist2017,2,attention,0,0.768095,0.769396,-0.001301
assist2017,2,moe,0,0.763285,0.769396,-0.00611
assist2017,2,attention,1,0.767976,0.769396,-0.001419
assist2017,2,moe,1,0.7609,0.769396,-0.008495
assist2017,2,attention,2,0.767996,0.769396,-0.001399
assist2017,2,moe,2,0.762458,0.769396,-0.006937
assist2017,2,attention,3,0.768113,0.769396,-0.001282
assist2017,2,moe,3,0.76336,0.769396,-0.006036
assist2017,2,attention,4,0.768092,0.769396,-0.001303
assist2017,2,moe,4,0.763879,0.769396,-0.005517
assist2017,3,attention,0,0.768816,0.769895,-0.001078
assist2017,3,moe,0,0.763226,0.769895,-0.006668
assist2017,3,attention,1,0.7687,0.769895,-0.001194
assist2017,3,moe,1,0.763623,0.769895,-0.006272
assist2017,3,attention,2,0.768732,0.769895,-0.001163
assist2017,3,moe,2,0.763571,0.769895,-0.006323
assist2017,3,attention,3,0.768766,0.769895,-0.001128
assist2017,3,moe,3,0.763702,0.769895,-0.006193
assist2017,3,attention,4,0.76874,0.769895,-0.001155
assist2017,3,moe,4,0.764002,0.769895,-0.005892
assist2017,4,attention,0,0.771342,0.772146,-0.000804
assist2017,4,moe,0,0.766719,0.772146,-0.005427
assist2017,4,attention,1,0.771199,0.772146,-0.000947
assist2017,4,moe,1,0.764986,0.772146,-0.007161
assist2017,4,attention,2,0.771244,0.772146,-0.000902
assist2017,4,moe,2,0.766171,0.772146,-0.005975
assist2017,4,attention,3,0.771273,0.772146,-0.000873
assist2017,4,moe,3,0.768415,0.772146,-0.003731
assist2017,4,attention,4,0.771338,0.772146,-0.000808
assist2017,4,moe,4,0.766536,0.772146,-0.00561
bridge2algebra2006,0,attention,0,0.821314,0.821111,0.000203
bridge2algebra2006,0,moe,0,0.817565,0.821111,-0.003546
bridge2algebra2006,0,attention,1,0.821452,0.821111,0.00034
bridge2algebra2006,0,moe,1,0.817079,0.821111,-0.004032
