dataset,fold,granularity,scheme,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,fit_sec,scheme_auc,scheme_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,static_auc,delta_auc_vs_static,auc_ci_low_vs_static,auc_ci_high_vs_static,auc_p_vs_static,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_static_holm,auc_p_vs_static_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm
assist2012,4,question,attention,akt,valid,536087,5497,cluster,1.6,0.77811,0.010455,0.772492,0.005618,0.00519,0.006044,0.001,0.01261,-0.002156,0.067966,0.778707,-0.000597,-0.000866,-0.000343,0.001,0.778014,9.6e-05,-8.7e-05,0.00028,0.285857,0.01,True,0.135932,False,0.01,True,1.0,False
assist2012,4,question,moe,akt,valid,536087,5497,cluster,0.7,0.774724,0.004053,0.772492,0.002231,0.001745,0.002715,0.001,0.01261,-0.008557,0.001,0.778707,-0.003983,-0.004336,-0.003624,0.001,0.778014,-0.00329,-0.00364,-0.002966,0.001,0.01,True,0.01,True,0.01,True,0.01,True
ednet,0,question,attention,simplekt,valid,132209,937,cluster,0.3,0.641586,0.079174,0.658462,-0.016876,-0.020267,-0.013784,0.001,0.148408,-0.069235,0.001,0.679223,-0.037637,-0.042299,-0.033512,0.001,0.665357,-0.023771,-0.028128,-0.019854,0.001,0.01,True,0.01,True,0.01,True,0.01,True
ednet,0,question,moe,simplekt,valid,132209,937,cluster,0.3,0.636883,0.084092,0.658462,-0.021579,-0.025039,-0.018297,0.001,0.148408,-0.064316,0.001,0.679223,-0.042341,-0.047011,-0.038202,0.001,0.665357,-0.028474,-0.032735,-0.024641,0.001,0.01,True,0.01,True,0.01,True,0.01,True
ednet,1,question,attention,simplekt,valid,132209,937,cluster,0.4,0.644465,0.076903,0.659407,-0.014941,-0.018084,-0.011988,0.001,0.132468,-0.055565,0.001,0.682024,-0.037558,-0.04233,-0.033061,0.001,0.664904,-0.020439,-0.024845,-0.016385,0.001,0.01,True,0.01,True,0.01,True,0.01,True
ednet,1,question,moe,simplekt,valid,132209,937,cluster,0.5,0.638983,0.084265,0.659407,-0.020424,-0.023683,-0.017366,0.001,0.132468,-0.048203,0.001,0.682024,-0.043041,-0.047596,-0.03879,0.001,0.664904,-0.025922,-0.030328,-0.021992,0.001,0.01,True,0.01,True,0.01,True,0.01,True
ednet,2,question,attention,simplekt,valid,132209,937,cluster,0.3,0.641027,0.073469,0.657867,-0.016839,-0.020204,-0.013549,0.001,0.146561,-0.073092,0.001,0.676976,-0.035949,-0.040221,-0.031933,0.001,0.662051,-0.021024,-0.024823,-0.017612,0.001,0.01,True,0.01,True,0.01,True,0.01,True
ednet,2,question,moe,simplekt,valid,132209,937,cluster,0.4,0.638129,0.080688,0.657867,-0.019738,-0.022986,-0.016679,0.001,0.146561,-0.065874,0.001,0.676976,-0.038848,-0.042844,-0.0352,0.001,0.662051,-0.023922,-0.027703,-0.020512,0.001,0.01,True,0.01,True,0.01,True,0.01,True
ednet,3,question,attention,simplekt,valid,132209,937,cluster,0.3,0.641806,0.074536,0.65679,-0.014984,-0.018196,-0.011908,0.001,0.145087,-0.070551,0.001,0.676326,-0.03452,-0.038466,-0.030853,0.001,0.659729,-0.017923,-0.021406,-0.014784,0.001,0.01,True,0.01,True,0.01,True,0.01,True
ednet,3,question,moe,simplekt,valid,132209,937,cluster,0.4,0.638949,0.08008,0.65679,-0.017841,-0.021158,-0.014507,0.001,0.145087,-0.065007,0.001,0.676326,-0.037377,-0.04133,-0.033588,0.001,0.659729,-0.02078,-0.024373,-0.017464,0.001,0.01,True,0.01,True,0.01,True,0.01,True
ednet,4,question,attention,simplekt,valid,132209,937,cluster,0.3,0.638422,0.084661,0.653691,-0.015269,-0.018233,-0.012318,0.001,0.142891,-0.05823,0.001,0.676922,-0.038501,-0.042808,-0.034598,0.001,0.660204,-0.021782,-0.026243,-0.017908,0.001,0.01,True,0.01,True,0.01,True,0.01,True
ednet,4,question,moe,simplekt,valid,132209,937,cluster,0.3,0.631088,0.088669,0.653691,-0.022602,-0.026185,-0.019336,0.001,0.142891,-0.054222,0.001,0.676922,-0.045834,-0.050304,-0.041689,0.001,0.660204,-0.029115,-0.033804,-0.024914,0.001,0.01,True,0.01,True,0.01,True,0.01,True
