dataset,fold,granularity,scheme,seed,auc,static_auc,lift_vs_static
bridge2algebra2006,4,question,attention,2,0.818808,0.820222,-0.001414
bridge2algebra2006,4,question,moe,2,0.811202,0.820222,-0.00902
bridge2algebra2006,4,question,attention,3,0.818837,0.820222,-0.001385
bridge2algebra2006,4,question,moe,3,0.814909,0.820222,-0.005312
bridge2algebra2006,4,question,attention,4,0.818793,0.820222,-0.001429
bridge2algebra2006,4,question,moe,4,0.814734,0.820222,-0.005487
ednet,0,question,attention,0,0.641586,0.679223,-0.037637
ednet,0,question,moe,0,0.636883,0.679223,-0.042341
ednet,0,question,attention,1,0.641822,0.679223,-0.037401
ednet,0,question,moe,1,0.636526,0.679223,-0.042697
ednet,0,question,attention,2,0.642434,0.679223,-0.03679
ednet,0,question,moe,2,0.637148,0.679223,-0.042076
ednet,0,question,attention,3,0.642287,0.679223,-0.036937
ednet,0,question,moe,3,0.631054,0.679223,-0.048169
ednet,0,question,attention,4,0.64222,0.679223,-0.037003
ednet,0,question,moe,4,0.640326,0.679223,-0.038897
ednet,1,question,attention,0,0.644465,0.682024,-0.037558
ednet,1,question,moe,0,0.638983,0.682024,-0.043041
ednet,1,question,attention,1,0.644423,0.682024,-0.037601
ednet,1,question,moe,1,0.638638,0.682024,-0.043386
ednet,1,question,attention,2,0.644726,0.682024,-0.037298
ednet,1,question,moe,2,0.639347,0.682024,-0.042676
ednet,1,question,attention,3,0.644288,0.682024,-0.037736
ednet,1,question,moe,3,0.643116,0.682024,-0.038908
ednet,1,question,attention,4,0.64436,0.682024,-0.037664
ednet,1,question,moe,4,0.643824,0.682024,-0.0382
ednet,2,question,attention,0,0.641027,0.676976,-0.035949
ednet,2,question,moe,0,0.638129,0.676976,-0.038848
ednet,2,question,attention,1,0.641141,0.676976,-0.035836
ednet,2,question,moe,1,0.638562,0.676976,-0.038415
ednet,2,question,attention,2,0.641922,0.676976,-0.035054
ednet,2,question,moe,2,0.640142,0.676976,-0.036834
ednet,2,question,attention,3,0.641609,0.676976,-0.035367
ednet,2,question,moe,3,0.63247,0.676976,-0.044506
ednet,2,question,attention,4,0.641473,0.676976,-0.035503
ednet,2,question,moe,4,0.635085,0.676976,-0.041891
ednet,3,question,attention,0,0.641806,0.676326,-0.03452
ednet,3,question,moe,0,0.638949,0.676326,-0.037377
ednet,3,question,attention,1,0.642083,0.676326,-0.034243
ednet,3,question,moe,1,0.635118,0.676326,-0.041208
ednet,3,question,attention,2,0.642236,0.676326,-0.03409
ednet,3,question,moe,2,0.637124,0.676326,-0.039202
ednet,3,question,attention,3,0.641905,0.676326,-0.034421
ednet,3,question,moe,3,0.629688,0.676326,-0.046638
ednet,3,question,attention,4,0.642094,0.676326,-0.034232
ednet,3,question,moe,4,0.641517,0.676326,-0.034809
ednet,4,question,attention,0,0.638422,0.676922,-0.038501
ednet,4,question,moe,0,0.631088,0.676922,-0.045834
ednet,4,question,attention,1,0.638554,0.676922,-0.038368
ednet,4,question,moe,1,0.634287,0.676922,-0.042635
ednet,4,question,attention,2,0.638817,0.676922,-0.038106
ednet,4,question,moe,2,0.632623,0.676922,-0.044299
ednet,4,question,attention,3,0.638499,0.676922,-0.038423
ednet,4,question,moe,3,0.63237,0.676922,-0.044552
ednet,4,question,attention,4,0.638512,0.676922,-0.03841
ednet,4,question,moe,4,0.638039,0.676922,-0.038884
