dataset,fold,variant,best_single_model,best_single_selected_on,n_test,n_students,ccce_auc,ccce_ece,best_auc,delta_auc_vs_best,auc_p_vs_best,best_ece,delta_ece_vs_best,ece_p_vs_best,stack_auc,delta_auc_vs_stack,auc_p_vs_stack,stack_ece,delta_ece_vs_stack,ece_p_vs_stack,static_auc,delta_auc_vs_static,auc_p_vs_static,static_ece,delta_ece_vs_static,ece_p_vs_static,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm,auc_p_vs_static_holm,auc_p_vs_static_reject_holm,ece_p_vs_static_holm,ece_p_vs_static_reject_holm
assist2017,4,no_s3,simplekt,valid,177767,-1,0.770165,0.010931,0.757588,0.012577,0.0,0.030158,-0.019228,0.0,0.772106,-0.001941,0.0,0.007563,0.003368,0.0,0.772146,-0.001981,0.0,0.006403,0.004528,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
algebra2005,0,full,simplekt,valid,134674,-1,0.930009,0.007768,0.92167,0.008339,0.0,0.023673,-0.015905,0.0,0.930244,-0.000235,0.333,0.006775,0.000993,0.013,0.931894,-0.001884,0.0,0.005848,0.001921,0.0,0.0,True,0.0,True,1.0,False,0.13,False,0.0,True,0.0,True
algebra2005,0,no_s1,simplekt,valid,134674,-1,0.931792,0.004956,0.92167,0.010122,0.0,0.023673,-0.018717,0.0,0.930244,0.001548,0.0,0.006775,-0.001819,0.006,0.931894,-0.000102,0.0,0.005848,-0.000892,0.095,0.0,True,0.0,True,0.0,True,0.078,False,0.0,True,0.76,False
algebra2005,0,global_s1,simplekt,valid,134674,-1,0.931907,0.005133,0.92167,0.010237,0.0,0.023673,-0.01854,0.0,0.930244,0.001663,0.0,0.006775,-0.001642,0.003,0.931894,1.3e-05,0.796,0.005848,-0.000714,0.045,0.0,True,0.0,True,0.0,True,0.045,True,1.0,False,0.44999999999999996,False
algebra2005,0,no_s3,simplekt,valid,134674,-1,0.930696,0.007424,0.92167,0.009026,0.0,0.023673,-0.016249,0.0,0.930244,0.000452,0.045,0.006775,0.000649,0.068,0.931894,-0.001198,0.0,0.005848,0.001577,0.0,0.0,True,0.0,True,0.27,False,0.6120000000000001,False,0.0,True,0.0,True
algebra2005,1,full,dkt,valid,134674,-1,0.928815,0.008677,0.919094,0.009721,0.0,0.006517,0.00216,0.036,0.928356,0.000459,0.058,0.006756,0.001922,0.003,0.930502,-0.001687,0.0,0.006174,0.002503,0.0,0.0,True,0.21599999999999997,False,0.29000000000000004,False,0.045,True,0.0,True,0.0,True
algebra2005,1,no_s1,dkt,valid,134674,-1,0.930441,0.005889,0.919094,0.011347,0.0,0.006517,-0.000628,0.709,0.928356,0.002085,0.0,0.006756,-0.000867,0.357,0.930502,-6.1e-05,0.001,0.006174,-0.000285,0.492,0.0,True,1.0,False,0.0,True,1.0,False,0.006,True,1.0,False
algebra2005,1,global_s1,dkt,valid,134674,-1,0.930495,0.006175,0.919094,0.011401,0.0,0.006517,-0.000342,0.804,0.928356,0.002139,0.0,0.006756,-0.00058,0.428,0.930502,-7e-06,0.876,0.006174,1e-06,0.599,0.0,True,1.0,False,0.0,True,1.0,False,1.0,False,1.0,False
algebra2005,1,no_s3,dkt,valid,134674,-1,0.929384,0.008487,0.919094,0.01029,0.0,0.006517,0.00197,0.065,0.928356,0.001028,0.0,0.006756,0.001731,0.011,0.930502,-0.001118,0.0,0.006174,0.002313,0.0,0.0,True,0.325,False,0.0,True,0.121,False,0.0,True,0.0,True
algebra2005,2,full,simplekt,valid,134674,-1,0.930193,0.007179,0.922659,0.007534,0.0,0.029509,-0.02233,0.0,0.930254,-6e-05,0.762,0.005551,0.001627,0.002,0.931982,-0.001788,0.0,0.004561,0.002618,0.0,0.0,True,0.0,True,1.0,False,0.034,True,0.0,True,0.0,True
