dataset,fold,subset,models_in_subset,aggregator,n_rows,auc,ece,brier,best_single_model,best_single_selected_on,best_single_auc,delta_auc,best_single_ece,delta_ece,best_single_brier,delta_brier,best_single_on_test_model,best_single_on_test_auc,best_single_on_test_ece,delta_auc_vs_test_best
assist2009,4,deep,"dkt,sakt,akt,simplekt",rank_mean,52254,0.775722,nan,nan,simplekt,valid,0.766135,0.009586,0.111292,nan,0.197373,nan,simplekt,0.766135,0.111292,0.009586
assist2009,4,deep,"dkt,sakt,akt,simplekt",median,52254,0.769909,0.027397,0.181142,simplekt,valid,0.766135,0.003774,0.111292,-0.083895,0.197373,-0.016231,simplekt,0.766135,0.111292,0.003774
assist2015,0,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,138458,0.699013,0.026594,0.178059,bkt,valid,0.69884,0.000173,0.007777,0.018817,0.177055,0.001004,bkt,0.69884,0.007777,0.000173
assist2015,0,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,138458,0.699317,0.027282,0.17807,bkt,valid,0.69884,0.000477,0.007777,0.019505,0.177055,0.001016,bkt,0.69884,0.007777,0.000477
assist2015,0,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,138458,0.698222,0.022445,0.177953,bkt,valid,0.69884,-0.000618,0.007777,0.014668,0.177055,0.000898,bkt,0.69884,0.007777,-0.000618
assist2015,0,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,138458,0.698788,nan,nan,bkt,valid,0.69884,-5.1e-05,0.007777,nan,0.177055,nan,bkt,0.69884,0.007777,-5.1e-05
assist2015,0,classical,"bkt,pfa,pfa_recency,elorasch",median,138458,0.694537,0.013665,0.178415,bkt,valid,0.69884,-0.004302,0.007777,0.005888,0.177055,0.001361,bkt,0.69884,0.007777,-0.004302
assist2015,0,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,134592,0.728645,0.006326,0.169923,dkt,valid,0.726964,0.001681,0.010352,-0.004026,0.170568,-0.000645,dkt,0.726964,0.010352,0.001681
assist2015,0,deep,"dkt,sakt,akt,simplekt",geometric_mean,134592,0.72872,0.006687,0.169899,dkt,valid,0.726964,0.001757,0.010352,-0.003666,0.170568,-0.000669,dkt,0.726964,0.010352,0.001757
assist2015,0,deep,"dkt,sakt,akt,simplekt",logit_mean,134592,0.728466,0.004957,0.16993,dkt,valid,0.726964,0.001503,0.010352,-0.005396,0.170568,-0.000638,dkt,0.726964,0.010352,0.001503
assist2015,0,deep,"dkt,sakt,akt,simplekt",rank_mean,134592,0.728124,nan,nan,dkt,valid,0.726964,0.00116,0.010352,nan,0.170568,nan,dkt,0.726964,0.010352,0.00116
assist2015,0,deep,"dkt,sakt,akt,simplekt",median,134592,0.728133,0.003628,0.169998,dkt,valid,0.726964,0.001169,0.010352,-0.006724,0.170568,-0.00057,dkt,0.726964,0.010352,0.001169
