dataset,subset,model,fold,n_rows,auc,ece,brier
bridge2algebra2006,classical,bkt,1,354262,0.7467705563102971,0.010513583502655792,0.11638444717097718
bridge2algebra2006,classical,bkt,2,354262,0.7462539433790933,0.008850803490328222,0.1163684780385656
bridge2algebra2006,classical,bkt,3,354262,0.7461166703287108,0.0075227821733134265,0.11636720322181418
bridge2algebra2006,classical,bkt,4,354262,0.7467486458821063,0.010814113276513389,0.11632537162321445
bridge2algebra2006,classical,pfa,0,354262,0.7458762729175732,0.013489059401101504,0.11769547246053678
bridge2algebra2006,classical,pfa,1,354262,0.7455165258817325,0.017760874833689,0.11796041321069416
bridge2algebra2006,classical,pfa,2,354262,0.7457570221373502,0.012530268797557005,0.11773439205033266
bridge2algebra2006,classical,pfa,3,354262,0.7460639886970082,0.011353516363149935,0.11764362096343327
bridge2algebra2006,classical,pfa,4,354262,0.745504242457831,0.013192487329460012,0.11772863041481536
bridge2algebra2006,classical,pfa_recency,0,354262,0.7485601077671824,0.0116579218240235,0.11709683416418251
bridge2algebra2006,classical,pfa_recency,1,354262,0.7483562156891084,0.011685985356640905,0.11714966214173386
bridge2algebra2006,classical,pfa_recency,2,354262,0.7486536138790345,0.011066730610236896,0.11709498218422426
bridge2algebra2006,classical,pfa_recency,3,354262,0.7484741225912157,0.011135112635680493,0.1171423807173256
bridge2algebra2006,classical,pfa_recency,4,354262,0.7484101008179497,0.011269016205922928,0.117124469000702
bridge2algebra2006,classical,elorasch,0,354262,0.7066976397978858,0.07268992391803974,0.12897712781862253
bridge2algebra2006,classical,elorasch,1,354262,0.7072787539555698,0.07208484946952855,0.12885066849190718
bridge2algebra2006,classical,elorasch,2,354262,0.7059614939245931,0.07259772820701307,0.12886691250832247
bridge2algebra2006,classical,elorasch,3,354262,0.7069165982156456,0.07273092748723527,0.12903241709450988
bridge2algebra2006,classical,elorasch,4,354262,0.7067968152140548,0.07348912974978355,0.12911302751952866
bridge2algebra2006,deep,dkt,0,352370,0.7962959815640157,0.006633288872491966,0.10860467950614411
bridge2algebra2006,deep,dkt,1,352370,0.7956733985601343,0.0065458821693106725,0.10876405197159235
bridge2algebra2006,deep,dkt,2,352370,0.7952514102821235,0.004733308454181666,0.10889665668919034
bridge2algebra2006,deep,dkt,3,352370,0.7943224015678372,0.006698441978602005,0.1092205032486307
bridge2algebra2006,deep,dkt,4,352370,0.7958011544602128,0.0055446533473337565,0.10878614021815138
bridge2algebra2006,deep,sakt,0,352370,0.761630595990223,0.0145348380963192,0.11550950618398276
bridge2algebra2006,deep,sakt,1,352370,0.761884427019624,0.012308996509350967,0.11523621711476574
bridge2algebra2006,deep,sakt,2,352370,0.7609430371670889,0.014386253937622398,0.11549973184848313
bridge2algebra2006,deep,sakt,3,352370,0.7609972374846128,0.011974028152226337,0.11545122609248801
bridge2algebra2006,deep,sakt,4,352370,0.7601807103870144,0.018228325907426846,0.11557767456605271
bridge2algebra2006,deep,akt,0,352370,0.8065578809483834,0.006100607032380733,0.10751051101089765
bridge2algebra2006,deep,akt,1,352370,0.806717544331205,0.006748800124868786,0.107501776781877
bridge2algebra2006,deep,akt,2,352370,0.8074458356301832,0.007235888412747946,0.10731692272281976
bridge2algebra2006,deep,akt,3,352370,0.8057453381120037,0.006766285722394094,0.10770212454224254
bridge2algebra2006,deep,akt,4,352370,0.8058608611148745,0.009313687884893713,0.10789354334937706
bridge2algebra2006,deep,simplekt,0,352370,0.8079724082308933,0.008720605897210335,0.10705624193725347
bridge2algebra2006,deep,simplekt,1,352370,0.8058795749660854,0.012306352981241324,0.10666759311258055
bridge2algebra2006,deep,simplekt,2,352370,0.8066888043528273,0.019114480517637717,0.10710232850739282
bridge2algebra2006,deep,simplekt,3,352370,0.8046034526690486,0.02978847631750716,0.10888260507863894
bridge2algebra2006,deep,simplekt,4,352370,0.8046434941186248,0.027307032948321344,0.10836697419286545
ednet,classical,bkt,0,133974,0.6295098167688566,0.018785609829934158,0.2137264431582294
ednet,classical,bkt,1,133974,0.6278754771835044,0.018128969863979355,0.2138231969741255
ednet,classical,bkt,2,133974,0.629019022154952,0.017738621123735712,0.2137460891198918
