dataset,fold,granularity,variant,best_single_model,best_single_selected_on,n_test,n_students,ccce_auc,ccce_ece,best_auc,delta_auc_vs_best,auc_p_vs_best,best_ece,delta_ece_vs_best,ece_p_vs_best,stack_auc,delta_auc_vs_stack,auc_p_vs_stack,stack_ece,delta_ece_vs_stack,ece_p_vs_stack,static_auc,delta_auc_vs_static,auc_p_vs_static,static_ece,delta_ece_vs_static,ece_p_vs_static,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm,auc_p_vs_static_holm,auc_p_vs_static_reject_holm,ece_p_vs_static_holm,ece_p_vs_static_reject_holm
algebra2005,0,question,full,simplekt,valid,92945,114,0.837776,0.011667,0.813394,0.024382,0.001,0.053947,-0.04228,0.001,0.831646,0.00613,0.001,0.009994,0.001673,0.392804,0.839452,-0.001676,0.013993,0.008327,0.00334,0.003998,0.02,True,0.02,True,0.02,True,1.0,False,0.098955,False,0.047976,True
algebra2005,0,question,no_s1,simplekt,valid,92945,114,0.83928,0.007733,0.813394,0.025886,0.001,0.053947,-0.046215,0.001,0.831646,0.007634,0.001,0.009994,-0.002261,0.21989,0.839452,-0.000171,0.001,0.008327,-0.000595,0.537731,0.02,True,0.02,True,0.02,True,1.0,False,0.02,True,1.0,False
algebra2005,0,question,global_s1,simplekt,valid,92945,114,0.83939,0.007582,0.813394,0.025996,0.001,0.053947,-0.046366,0.001,0.831646,0.007745,0.001,0.009994,-0.002412,0.327836,0.839452,-6.1e-05,0.563718,0.008327,-0.000746,0.623688,0.02,True,0.02,True,0.02,True,1.0,False,1.0,False,1.0,False
algebra2005,0,question,no_s3,simplekt,valid,92945,114,0.838033,0.011122,0.813394,0.024639,0.001,0.053947,-0.042825,0.001,0.831646,0.006388,0.001,0.009994,0.001129,0.624688,0.839452,-0.001418,0.045977,0.008327,0.002795,0.013993,0.02,True,0.02,True,0.02,True,1.0,False,0.14493,False,0.153923,False
algebra2005,1,question,full,simplekt,valid,92945,114,0.834632,0.014228,0.814078,0.020554,0.001,0.048824,-0.034596,0.001,0.827877,0.006755,0.001,0.013655,0.000573,0.642679,0.836504,-0.001872,0.001,0.009083,0.005145,0.001,0.02,True,0.02,True,0.02,True,1.0,False,0.02,True,0.02,True
algebra2005,1,question,no_s1,simplekt,valid,92945,114,0.836322,0.011278,0.814078,0.022244,0.001,0.048824,-0.037546,0.001,0.827877,0.008445,0.001,0.013655,-0.002377,0.093953,0.836504,-0.000182,0.001,0.009083,0.002195,0.207896,0.02,True,0.02,True,0.02,True,1.0,False,0.02,True,1.0,False
algebra2005,1,question,global_s1,simplekt,valid,92945,114,0.836113,0.009985,0.814078,0.022035,0.001,0.048824,-0.038839,0.001,0.827877,0.008236,0.001,0.013655,-0.00367,0.038981,0.836504,-0.000391,0.002999,0.009083,0.000902,0.505747,0.02,True,0.02,True,0.02,True,0.6626770000000001,False,0.035988,True,1.0,False
algebra2005,1,question,no_s3,simplekt,valid,92945,114,0.834905,0.014251,0.814078,0.020827,0.001,0.048824,-0.034573,0.001,0.827877,0.007028,0.001,0.013655,0.000596,0.746627,0.836504,-0.001599,0.001999,0.009083,0.005168,0.001,0.02,True,0.02,True,0.02,True,1.0,False,0.025987,True,0.02,True
algebra2005,2,question,full,simplekt,valid,92945,114,0.837395,0.011828,0.815247,0.022148,0.001,0.06492,-0.053092,0.001,0.831876,0.005519,0.001,0.010298,0.001529,0.287856,0.838781,-0.001386,0.010995,0.006005,0.005823,0.001,0.02,True,0.02,True,0.02,True,1.0,False,0.098955,False,0.02,True
algebra2005,2,question,no_s1,simplekt,valid,92945,114,0.838661,0.006466,0.815247,0.023414,0.001,0.06492,-0.058454,0.001,0.831876,0.006784,0.001,0.010298,-0.003832,0.347826,0.838781,-0.000121,0.001,0.006005,0.000462,0.627686,0.02,True,0.02,True,0.02,True,1.0,False,0.02,True,1.0,False
algebra2005,2,question,global_s1,simplekt,valid,92945,114,0.838556,0.006689,0.815247,0.023309,0.001,0.06492,-0.058231,0.001,0.831876,0.00668,0.001,0.010298,-0.003609,0.43978,0.838781,-0.000225,0.028986,0.006005,0.000684,0.369815,0.02,True,0.02,True,0.02,True,1.0,False,0.14493,False,1.0,False
algebra2005,2,question,no_s3,simplekt,valid,92945,114,0.837683,0.011487,0.815247,0.022437,0.001,0.06492,-0.053433,0.001,0.831876,0.005807,0.001,0.010298,0.001189,0.408796,0.838781,-0.001098,0.031984,0.006005,0.005483,0.001,0.02,True,0.02,True,0.02,True,1.0,False,0.14493,False,0.02,True
algebra2005,3,question,full,simplekt,valid,92945,114,0.836794,0.009993,0.816694,0.0201,0.001,0.066559,-0.056566,0.001,0.832396,0.004397,0.004998,0.011969,-0.001976,0.655672,0.839617,-0.002823,0.001,0.004824,0.005169,0.001,0.02,True,0.02,True,0.02,True,1.0,False,0.02,True,0.02,True
algebra2005,3,question,no_s1,simplekt,valid,92945,114,0.839451,0.005747,0.816694,0.022757,0.001,0.066559,-0.060813,0.001,0.832396,0.007055,0.001,0.011969,-0.006223,0.048976,0.839617,-0.000165,0.001,0.004824,0.000922,0.264868,0.02,True,0.02,True,0.02,True,0.783616,False,0.02,True,1.0,False
algebra2005,3,question,global_s1,simplekt,valid,92945,114,0.839529,0.006143,0.816694,0.022835,0.001,0.066559,-0.060417,0.001,0.832396,0.007132,0.001,0.011969,-0.005827,0.032984,0.839617,-8.8e-05,0.525737,0.004824,0.001319,0.448776,0.02,True,0.02,True,0.02,True,0.593712,False,1.0,False,1.0,False
algebra2005,3,question,no_s3,simplekt,valid,92945,114,0.83712,0.00925,0.816694,0.020426,0.001,0.066559,-0.057309,0.001,0.832396,0.004724,0.002999,0.011969,-0.002719,0.564718,0.839617,-0.002496,0.001,0.004824,0.004426,0.001999,0.02,True,0.02,True,0.02,True,1.0,False,0.02,True,0.025987,True
algebra2005,4,question,full,akt,valid,92945,114,0.835428,0.011765,0.813399,0.022029,0.001,0.027323,-0.015558,0.001,0.830624,0.004804,0.001,0.014112,-0.002347,0.396802,0.837544,-0.002116,0.004998,0.00504,0.006726,0.001,0.02,True,0.02,True,0.02,True,1.0,False,0.04998,True,0.02,True
algebra2005,4,question,no_s1,akt,valid,92945,114,0.837408,0.005909,0.813399,0.02401,0.001,0.027323,-0.021414,0.001,0.830624,0.006784,0.001,0.014112,-0.008203,0.009995,0.837544,-0.000136,0.011994,0.00504,0.000869,0.647676,0.02,True,0.02,True,0.02,True,0.19990000000000002,False,0.098955,False,1.0,False
algebra2005,4,question,global_s1,akt,valid,92945,114,0.837089,0.006523,0.813399,0.02369,0.001,0.027323,-0.020801,0.001,0.830624,0.006464,0.001,0.014112,-0.00759,0.015992,0.837544,-0.000455,0.003998,0.00504,0.001483,0.66067,0.02,True,0.02,True,0.02,True,0.303848,False,0.043977999999999996,True,1.0,False
algebra2005,4,question,no_s3,akt,valid,92945,114,0.835868,0.010543,0.813399,0.022469,0.001,0.027323,-0.016781,0.001,0.830624,0.005243,0.001,0.014112,-0.00357,0.227886,0.837544,-0.001677,0.018991,0.00504,0.005503,0.001,0.02,True,0.02,True,0.02,True,1.0,False,0.113946,False,0.02,True
bridge2algebra2006,0,question,full,simplekt,valid,352370,229,0.813082,0.010905,0.807972,0.00511,0.001,0.008721,0.002184,0.076962,0.819735,-0.006653,0.001,0.003304,0.007601,0.001,0.81998,-0.006897,0.001,0.003223,0.007682,0.001,0.02,True,0.76962,False,0.02,True,0.02,True,0.02,True,0.02,True
bridge2algebra2006,0,question,no_s1,simplekt,valid,352370,229,0.819897,0.003833,0.807972,0.011925,0.001,0.008721,-0.004887,0.031984,0.819735,0.000162,0.622689,0.003304,0.000529,0.464768,0.81998,-8.2e-05,0.001,0.003223,0.00061,0.187906,0.02,True,0.383808,False,1.0,False,0.929536,False,0.02,True,0.93953,False
bridge2algebra2006,0,question,global_s1,simplekt,valid,352370,229,0.819853,0.003934,0.807972,0.011881,0.001,0.008721,-0.004786,0.034983,0.819735,0.000118,0.723638,0.003304,0.00063,0.524738,0.81998,-0.000126,0.053973,0.003223,0.000712,0.217891,0.02,True,0.384813,False,1.0,False,0.929536,False,0.269865,False,0.93953,False
bridge2algebra2006,0,question,no_s3,simplekt,valid,352370,229,0.813219,0.010866,0.807972,0.005246,0.001,0.008721,0.002146,0.156922,0.819735,-0.006517,0.001,0.003304,0.007562,0.001,0.81998,-0.006761,0.001,0.003223,0.007643,0.001,0.02,True,0.951524,False,0.02,True,0.02,True,0.02,True,0.02,True
bridge2algebra2006,1,question,full,akt,valid,352370,229,0.81549,0.01147,0.806718,0.008773,0.001,0.006749,0.004721,0.001,0.821489,-0.005998,0.001,0.00363,0.00784,0.001,0.821856,-0.006365,0.001,0.004136,0.007334,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
bridge2algebra2006,1,question,no_s1,akt,valid,352370,229,0.821746,0.004981,0.806718,0.015029,0.001,0.006749,-0.001768,0.176912,0.821489,0.000258,0.447776,0.00363,0.00135,0.097951,0.821856,-0.000109,0.001,0.004136,0.000845,0.022989,0.02,True,0.951524,False,1.0,False,0.587706,False,0.02,True,0.22988999999999998,False
bridge2algebra2006,1,question,global_s1,akt,valid,352370,229,0.821822,0.005114,0.806718,0.015105,0.001,0.006749,-0.001635,0.162919,0.821489,0.000334,0.337831,0.00363,0.001484,0.10095,0.821856,-3.3e-05,0.650675,0.004136,0.000978,0.033983,0.02,True,0.951524,False,1.0,False,0.587706,False,1.0,False,0.278865,False
bridge2algebra2006,1,question,no_s3,akt,valid,352370,229,0.815618,0.011487,0.806718,0.008901,0.001,0.006749,0.004738,0.001,0.821489,-0.00587,0.001,0.00363,0.007856,0.001,0.821856,-0.006237,0.001,0.004136,0.007351,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
bridge2algebra2006,2,question,full,akt,valid,352370,229,0.815633,0.011558,0.807446,0.008187,0.001,0.007236,0.004322,0.001,0.821535,-0.005902,0.001,0.003645,0.007913,0.001,0.821136,-0.005503,0.001,0.005448,0.006111,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
bridge2algebra2006,2,question,no_s1,akt,valid,352370,229,0.821033,0.005491,0.807446,0.013587,0.001,0.007236,-0.001745,0.225887,0.821535,-0.000502,0.161919,0.003645,0.001845,0.038981,0.821136,-0.000103,0.001,0.005448,4.3e-05,0.741629,0.02,True,0.951524,False,0.971514,False,0.350829,False,0.02,True,1.0,False
bridge2algebra2006,2,question,global_s1,akt,valid,352370,229,0.821187,0.005359,0.807446,0.013741,0.001,0.007236,-0.001877,0.186907,0.821535,-0.000348,0.365817,0.003645,0.001714,0.07996,0.821136,5.1e-05,0.465767,0.005448,-8.9e-05,0.974513,0.02,True,0.951524,False,1.0,False,0.55972,False,1.0,False,1.0,False
bridge2algebra2006,2,question,no_s3,akt,valid,352370,229,0.815733,0.010796,0.807446,0.008287,0.001,0.007236,0.00356,0.001,0.821535,-0.005802,0.001,0.003645,0.00715,0.001,0.821136,-0.005403,0.001,0.005448,0.005348,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
bridge2algebra2006,3,question,full,akt,valid,352370,229,0.812965,0.012392,0.805745,0.00722,0.001,0.006766,0.005626,0.001,0.818379,-0.005414,0.001,0.004311,0.008081,0.001,0.819319,-0.006354,0.001,0.005199,0.007193,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
bridge2algebra2006,3,question,no_s1,akt,valid,352370,229,0.819222,0.005702,0.805745,0.013477,0.001,0.006766,-0.001064,0.135932,0.818379,0.000843,0.012994,0.004311,0.001391,0.104948,0.819319,-9.7e-05,0.001,0.005199,0.000504,0.153923,0.02,True,0.951524,False,0.090958,False,0.587706,False,0.02,True,0.923538,False
bridge2algebra2006,3,question,global_s1,akt,valid,352370,229,0.819266,0.005835,0.805745,0.01352,0.001,0.006766,-0.000931,0.116942,0.818379,0.000887,0.008996,0.004311,0.001524,0.110945,0.819319,-5.3e-05,0.452774,0.005199,0.000637,0.1999,0.02,True,0.935536,False,0.071968,False,0.587706,False,1.0,False,0.93953,False
bridge2algebra2006,3,question,no_s3,akt,valid,352370,229,0.813083,0.01127,0.805745,0.007338,0.001,0.006766,0.004503,0.001,0.818379,-0.005296,0.001,0.004311,0.006959,0.001,0.819319,-0.006236,0.001,0.005199,0.006071,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
