dataset,fold,meta_learner,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,n_concepts_fit,gated_auc,gated_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,stacked_ece,delta_ece_vs_stack,ece_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm
algebra2005,3,linear_gating,bkt,valid,93595,114,cluster,-1,0.751034,0.017409,0.750609,0.000425,-0.002622,0.002881,0.868,0.014198,0.003211,0.21,0.757821,-0.006787,-0.008498,-0.005137,0.0,0.013048,0.004362,0.104,1.0,False,1.0,False,0.0,True,0.9359999999999999,False
algebra2005,4,static_concept_weights,bkt,valid,93595,114,cluster,57,0.761997,0.009116,0.750802,0.011194,0.006161,0.015116,0.001,0.01546,-0.006345,0.062,0.758038,0.003958,0.001414,0.006377,0.001,0.011547,-0.002432,0.58,0.007,True,0.6960000000000001,False,0.003,True,1.0,False
algebra2005,4,global_stack_concept_intercept,bkt,valid,93595,114,cluster,57,0.762062,0.008452,0.750802,0.01126,0.006137,0.015232,0.0,0.01546,-0.007008,0.025,0.758038,0.004024,0.001984,0.005806,0.0,0.011547,-0.003095,0.328,0.0,True,0.375,False,0.0,True,1.0,False
algebra2005,4,linear_gating,bkt,valid,93595,114,cluster,-1,0.75027,0.016787,0.750802,-0.000532,-0.003771,0.002028,0.616,0.01546,0.001327,0.502,0.758038,-0.007768,-0.009816,-0.005745,0.0,0.011547,0.00524,0.042,1.0,False,1.0,False,0.0,True,0.507,False
bridge2algebra2006,0,static_concept_weights,pfa_recency,valid,354262,229,cluster,344,0.760226,0.006543,0.74856,0.011666,0.009839,0.013639,0.0,0.011658,-0.005115,0.0,0.758376,0.00185,0.000134,0.00361,0.029,0.006262,0.000281,0.588,0.0,True,0.0,True,0.156,False,0.588,False
bridge2algebra2006,0,global_stack_concept_intercept,pfa_recency,valid,354262,229,cluster,344,0.760334,0.005428,0.74856,0.011774,0.009746,0.013861,0.0,0.011658,-0.00623,0.0,0.758376,0.001958,0.000587,0.003409,0.009,0.006262,-0.000834,0.068,0.0,True,0.0,True,0.08099999999999999,False,0.136,False
bridge2algebra2006,0,linear_gating,pfa_recency,valid,354262,229,cluster,-1,0.751216,0.021162,0.74856,0.002656,0.001083,0.004149,0.001,0.011658,0.009504,0.0,0.758376,-0.00716,-0.008141,-0.006178,0.0,0.006262,0.0149,0.0,0.003,True,0.0,True,0.0,True,0.0,True
bridge2algebra2006,1,static_concept_weights,bkt,valid,354262,229,cluster,363,0.760062,0.003553,0.746771,0.013292,0.010464,0.016482,0.0,0.010514,-0.00696,0.0,0.757933,0.002129,0.000617,0.00364,0.006,0.007707,-0.004154,0.0,0.0,True,0.0,True,0.06,False,0.0,True
bridge2algebra2006,1,global_stack_concept_intercept,bkt,valid,354262,229,cluster,363,0.759276,0.00568,0.746771,0.012505,0.009613,0.015652,0.0,0.010514,-0.004834,0.0,0.757933,0.001342,-7.5e-05,0.002786,0.063,0.007707,-0.002027,0.001,0.0,True,0.0,True,0.252,False,0.008,True
bridge2algebra2006,1,linear_gating,bkt,valid,354262,229,cluster,-1,0.750657,0.020983,0.746771,0.003886,0.001939,0.006034,0.0,0.010514,0.010469,0.0,0.757933,-0.007277,-0.008307,-0.006217,0.0,0.007707,0.013276,0.0,0.0,True,0.0,True,0.0,True,0.0,True
bridge2algebra2006,2,static_concept_weights,pfa_recency,valid,354262,229,cluster,370,0.759551,0.005595,0.748654,0.010897,0.008943,0.013055,0.0,0.011067,-0.005472,0.0,0.758282,0.001269,-0.000548,0.003165,0.193,0.007817,-0.002222,0.011,0.0,True,0.0,True,0.579,False,0.048,True
bridge2algebra2006,2,global_stack_concept_intercept,pfa_recency,valid,354262,229,cluster,370,0.76006,0.00596,0.748654,0.011406,0.009405,0.013458,0.0,0.011067,-0.005107,0.0,0.758282,0.001778,0.000223,0.003507,0.026,0.007817,-0.001858,0.014,0.0,True,0.0,True,0.156,False,0.048,True
bridge2algebra2006,2,linear_gating,pfa_recency,valid,354262,229,cluster,-1,0.750772,0.020229,0.748654,0.002119,0.000528,0.003639,0.011,0.011067,0.009163,0.0,0.758282,-0.007509,-0.008414,-0.006582,0.0,0.007817,0.012412,0.0,0.011,True,0.0,True,0.0,True,0.0,True
bridge2algebra2006,3,static_concept_weights,pfa_recency,valid,354262,229,cluster,375,0.759526,0.004408,0.748474,0.011052,0.008579,0.013381,0.0,0.011135,-0.006727,0.0,0.758437,0.001089,-0.000587,0.002724,0.199,0.007316,-0.002908,0.009,0.0,True,0.0,True,0.579,False,0.048,True
bridge2algebra2006,3,global_stack_concept_intercept,pfa_recency,valid,354262,229,cluster,375,0.760118,0.004158,0.748474,0.011643,0.009507,0.013772,0.0,0.011135,-0.006977,0.0,0.758437,0.001681,0.000337,0.00312,0.018,0.007316,-0.003158,0.008,0.0,True,0.0,True,0.126,False,0.048,True
