dataset,fold,scheme,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,fit_sec,scheme_auc,scheme_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,static_auc,delta_auc_vs_static,auc_ci_low_vs_static,auc_ci_high_vs_static,auc_p_vs_static,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_static_holm,auc_p_vs_static_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm
bridge2algebra2006,4,moe,akt,valid,353631,229,cluster,0.7,0.815474,0.009597,0.806228,0.009246,0.008075,0.010353,0.0,0.009248,0.000349,0.903,0.821331,-0.005857,-0.006481,-0.005232,0.0,0.819331,-0.003858,-0.004597,-0.003087,0.0,0.0,True,1.0,False,0.0,True,0.0,True
assist2012,0,attention,akt,valid,536087,5497,cluster,1.4,0.777775,0.012871,0.772909,0.004866,0.004472,0.005274,0.0,0.014972,-0.002101,0.112,0.778567,-0.000792,-0.001068,-0.000517,0.0,0.777844,-6.9e-05,-0.000238,8.7e-05,0.361,0.0,True,0.136,False,0.0,True,1.0,False
assist2012,0,moe,akt,valid,536087,5497,cluster,0.9,0.773444,0.004828,0.772909,0.000535,0.000101,0.000979,0.011,0.014972,-0.010144,0.0,0.778567,-0.005123,-0.005526,-0.004724,0.0,0.777844,-0.0044,-0.004738,-0.004046,0.0,0.022,True,0.0,True,0.0,True,0.0,True
assist2012,1,attention,akt,valid,536087,5497,cluster,1.2,0.777973,0.011876,0.772772,0.005201,0.004792,0.0056,0.0,0.014931,-0.003055,0.011,0.778928,-0.000955,-0.001228,-0.000697,0.0,0.778036,-6.2e-05,-0.000212,8.3e-05,0.413,0.0,True,0.05499999999999999,False,0.0,True,1.0,False
assist2012,1,moe,akt,valid,536087,5497,cluster,1.4,0.773159,0.004418,0.772772,0.000387,-0.000101,0.000877,0.13,0.014931,-0.010513,0.0,0.778928,-0.005769,-0.00619,-0.005366,0.0,0.778036,-0.004877,-0.005262,-0.004481,0.0,0.13,False,0.0,True,0.0,True,0.0,True
assist2012,2,attention,akt,valid,536087,5497,cluster,1.2,0.777751,0.011727,0.771734,0.006016,0.005594,0.006449,0.0,0.014765,-0.003039,0.013,0.778502,-0.000751,-0.001042,-0.000465,0.0,0.777755,-4e-06,-0.000179,0.000164,0.929,0.0,True,0.05499999999999999,False,0.0,True,1.0,False
assist2012,2,moe,akt,valid,536087,5497,cluster,0.5,0.774341,0.005351,0.771734,0.002607,0.002131,0.003089,0.0,0.014765,-0.009414,0.0,0.778502,-0.004161,-0.004555,-0.003798,0.0,0.777755,-0.003413,-0.003731,-0.003085,0.0,0.0,True,0.0,True,0.0,True,0.0,True
assist2012,3,attention,akt,valid,536087,5497,cluster,1.2,0.777707,0.011344,0.771509,0.006198,0.005803,0.006606,0.0,0.01414,-0.002797,0.028,0.778609,-0.000902,-0.001172,-0.000646,0.0,0.777817,-0.00011,-0.000279,4.3e-05,0.151,0.0,True,0.084,False,0.0,True,0.755,False
assist2012,3,moe,akt,valid,536087,5497,cluster,1.2,0.773618,0.002718,0.771509,0.002109,0.001619,0.002604,0.0,0.01414,-0.011422,0.0,0.778609,-0.004991,-0.005378,-0.004599,0.0,0.777817,-0.004199,-0.004568,-0.003815,0.0,0.0,True,0.0,True,0.0,True,0.0,True
assist2012,4,attention,akt,valid,536087,5497,cluster,1.2,0.77811,0.010466,0.772492,0.005618,0.00519,0.006044,0.0,0.012622,-0.002156,0.068,0.778707,-0.000596,-0.000866,-0.000343,0.0,0.778014,9.6e-05,-8.7e-05,0.00028,0.285,0.0,True,0.136,False,0.0,True,1.0,False
assist2012,4,moe,akt,valid,536087,5497,cluster,0.9,0.773847,0.004218,0.772492,0.001355,0.000831,0.00188,0.0,0.012622,-0.008403,0.0,0.778707,-0.004859,-0.005272,-0.004454,0.0,0.778014,-0.004167,-0.004564,-0.003749,0.0,0.0,True,0.0,True,0.0,True,0.0,True
ednet,0,attention,simplekt,valid,301372,937,cluster,0.5,0.940732,0.007154,0.940611,0.000122,-0.000213,0.000411,0.523,0.02186,-0.014707,0.0,0.940415,0.000317,7e-05,0.000553,0.014,0.94067,6.2e-05,-7e-05,0.000172,0.378,1.0,False,0.0,True,0.056,False,0.378,False
ednet,0,moe,simplekt,valid,301372,937,cluster,0.6,0.9393,0.005588,0.940611,-0.001311,-0.001709,-0.000982,0.0,0.02186,-0.016273,0.0,0.940415,-0.001116,-0.001393,-0.000836,0.0,0.94067,-0.00137,-0.001625,-0.001144,0.0,0.0,True,0.0,True,0.0,True,0.0,True
ednet,1,attention,simplekt,valid,301372,937,cluster,0.7,0.941421,0.006195,0.941215,0.000206,-0.000173,0.000564,0.337,0.013728,-0.007534,0.0,0.941373,4.8e-05,-0.000222,0.000308,0.725,0.941491,-7.1e-05,-0.000182,2.8e-05,0.162,1.0,False,0.0,True,0.725,False,0.324,False
ednet,1,moe,simplekt,valid,301372,937,cluster,0.8,0.940093,0.003027,0.941215,-0.001122,-0.001513,-0.000776,0.0,0.013728,-0.010702,0.0,0.941373,-0.00128,-0.001554,-0.000996,0.0,0.941491,-0.001399,-0.001661,-0.001114,0.0,0.0,True,0.0,True,0.0,True,0.0,True
ednet,2,attention,simplekt,valid,301372,937,cluster,0.5,0.940624,0.008457,0.940673,-4.9e-05,-0.000435,0.000297,0.699,0.020558,-0.012101,0.0,0.93995,0.000674,0.000382,0.000986,0.0,0.940307,0.000316,0.000176,0.000473,0.0,1.0,False,0.0,True,0.0,True,0.0,True
ednet,2,moe,simplekt,valid,301372,937,cluster,0.4,0.937377,0.006719,0.940673,-0.003296,-0.003881,-0.002823,0.0,0.020558,-0.013839,0.0,0.93995,-0.002572,-0.002952,-0.002197,0.0,0.940307,-0.00293,-0.003377,-0.002552,0.0,0.0,True,0.0,True,0.0,True,0.0,True
ednet,3,attention,simplekt,valid,301372,937,cluster,0.6,0.940345,0.007323,0.940562,-0.000216,-0.000636,0.00013,0.225,0.019548,-0.012225,0.0,0.940029,0.000316,-1.4e-05,0.000656,0.06,0.940179,0.000166,2.4e-05,0.000304,0.025,1.0,False,0.0,True,0.12,False,0.1,False
ednet,3,moe,simplekt,valid,301372,937,cluster,0.4,0.938676,0.005617,0.940562,-0.001885,-0.002334,-0.001515,0.0,0.019548,-0.013931,0.0,0.940029,-0.001353,-0.001652,-0.001057,0.0,0.940179,-0.001502,-0.001745,-0.001267,0.0,0.0,True,0.0,True,0.0,True,0.0,True
ednet,4,attention,simplekt,valid,301372,937,cluster,0.6,0.940569,0.012333,0.940598,-2.9e-05,-0.000317,0.000222,0.741,0.021363,-0.00903,0.0,0.940855,-0.000287,-0.000539,-4.7e-05,0.016,0.940694,-0.000126,-0.000258,-1.8e-05,0.026,1.0,False,0.0,True,0.056,False,0.1,False
ednet,4,moe,simplekt,valid,301372,937,cluster,0.5,0.938791,0.010997,0.940598,-0.001807,-0.002164,-0.001497,0.0,0.021363,-0.010366,0.0,0.940855,-0.002064,-0.002365,-0.001769,0.0,0.940694,-0.001903,-0.002163,-0.001653,0.0,0.0,True,0.0,True,0.0,True,0.0,True
