dataset,fold,meta_learner,models_in_subset,n_valid,n_test,n_concepts_fit,gated_auc,gated_ece,gated_brier,mean_auc,mean_ece,mean_brier,stacked_auc,stacked_ece,stacked_brier,best_single_model,best_single_selected_on,best_single_on_test_model,best_single_auc,best_single_ece,best_single_brier,lift_gated_vs_mean_auc,lift_gated_vs_best_auc,lift_gated_vs_stack_auc,lift_gated_vs_mean_ece,lift_gated_vs_best_ece,lift_gated_vs_stack_ece
bridge2algebra2006,3,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",309493,354262,375,0.759526,0.004408,0.114589,0.758077,0.031557,0.116307,0.758437,0.007316,0.114843,pfa_recency,valid,pfa_recency,0.748474,0.011135,0.117142,0.001449,0.011052,0.001089,-0.027149,-0.006727,-0.002908
bridge2algebra2006,3,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",309493,354262,375,0.760118,0.004158,0.114468,0.758077,0.031557,0.116307,0.758437,0.007316,0.114843,pfa_recency,valid,pfa_recency,0.748474,0.011135,0.117142,0.00204,0.011643,0.001681,-0.027399,-0.006977,-0.003158
bridge2algebra2006,3,linear_gating,"bkt,pfa,pfa_recency,elorasch",309493,354262,-1,0.751457,0.020959,0.117164,0.758077,0.031557,0.116307,0.758437,0.007316,0.114843,pfa_recency,valid,pfa_recency,0.748474,0.011135,0.117142,-0.00662,0.002983,-0.00698,-0.010598,0.009824,0.013643
bridge2algebra2006,4,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",284203,354262,367,0.760462,0.004185,0.114543,0.757942,0.03226,0.116353,0.758511,0.006902,0.114768,pfa_recency,valid,pfa_recency,0.74841,0.011269,0.117124,0.002519,0.012052,0.00195,-0.028075,-0.007084,-0.002717
bridge2algebra2006,4,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",284203,354262,367,0.75934,0.004386,0.11456,0.757942,0.03226,0.116353,0.758511,0.006902,0.114768,pfa_recency,valid,pfa_recency,0.74841,0.011269,0.117124,0.001397,0.01093,0.000829,-0.027874,-0.006883,-0.002516
bridge2algebra2006,4,linear_gating,"bkt,pfa,pfa_recency,elorasch",284203,354262,-1,0.750657,0.020798,0.117333,0.757942,0.03226,0.116353,0.758511,0.006902,0.114768,pfa_recency,valid,pfa_recency,0.74841,0.011269,0.117124,-0.007286,0.002246,-0.007855,-0.011462,0.009529,0.013896
assist2012,0,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",445206,542817,208,0.698861,0.002642,0.188295,0.689243,0.030779,0.1921,0.696544,0.004652,0.188868,bkt,valid,bkt,0.680836,0.008537,0.192349,0.009618,0.018024,0.002316,-0.028137,-0.005894,-0.00201
assist2012,0,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",445206,542817,208,0.69883,0.00428,0.188289,0.689243,0.030779,0.1921,0.696544,0.004652,0.188868,bkt,valid,bkt,0.680836,0.008537,0.192349,0.009587,0.017993,0.002285,-0.0265,-0.004257,-0.000373
assist2012,0,linear_gating,"bkt,pfa,pfa_recency,elorasch",445206,542817,-1,0.687551,0.024809,0.192111,0.689243,0.030779,0.1921,0.696544,0.004652,0.188868,bkt,valid,bkt,0.680836,0.008537,0.192349,-0.001692,0.006714,-0.008994,-0.00597,0.016272,0.020156
assist2012,1,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",437974,542817,207,0.698682,0.003355,0.188307,0.689175,0.031097,0.192133,0.696577,0.00398,0.188873,bkt,valid,bkt,0.680724,0.008243,0.192339,0.009507,0.017958,0.002105,-0.027742,-0.004888,-0.000624
assist2012,1,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",437974,542817,207,0.698924,0.003748,0.188268,0.689175,0.031097,0.192133,0.696577,0.00398,0.188873,bkt,valid,bkt,0.680724,0.008243,0.192339,0.009749,0.018199,0.002347,-0.027349,-0.004495,-0.000231
assist2012,1,linear_gating,"bkt,pfa,pfa_recency,elorasch",437974,542817,-1,0.687035,0.02511,0.192302,0.689175,0.031097,0.192133,0.696577,0.00398,0.188873,bkt,valid,bkt,0.680724,0.008243,0.192339,-0.00214,0.006311,-0.009542,-0.005987,0.016867,0.021131
assist2012,2,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",430248,542817,208,0.698471,0.004077,0.188381,0.689121,0.030731,0.192148,0.696493,0.003988,0.188889,bkt,valid,bkt,0.680908,0.00762,0.192331,0.009349,0.017563,0.001977,-0.026653,-0.003543,9e-05
assist2012,2,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",430248,542817,208,0.698965,0.004508,0.188261,0.689121,0.030731,0.192148,0.696493,0.003988,0.188889,bkt,valid,bkt,0.680908,0.00762,0.192331,0.009843,0.018057,0.002471,-0.026223,-0.003112,0.00052
assist2012,2,linear_gating,"bkt,pfa,pfa_recency,elorasch",430248,542817,-1,0.686972,0.025119,0.192315,0.689121,0.030731,0.192148,0.696493,0.003988,0.188889,bkt,valid,bkt,0.680908,0.00762,0.192331,-0.002149,0.006064,-0.009521,-0.005612,0.017499,0.021132
assist2012,3,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",424542,542817,205,0.698774,0.00478,0.188277,0.689154,0.030833,0.192137,0.696656,0.004079,0.188888,bkt,valid,bkt,0.680942,0.008015,0.192335,0.009619,0.017832,0.002117,-0.026053,-0.003235,0.000701
assist2012,3,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",424542,542817,205,0.698821,0.004906,0.188303,0.689154,0.030833,0.192137,0.696656,0.004079,0.188888,bkt,valid,bkt,0.680942,0.008015,0.192335,0.009667,0.017879,0.002165,-0.025927,-0.003109,0.000827
