dataset,fold,meta_learner,models_in_subset,n_valid,n_test,n_concepts_fit,gated_auc,gated_ece,gated_brier,mean_auc,mean_ece,mean_brier,stacked_auc,stacked_ece,stacked_brier,best_single_model,best_single_selected_on,best_single_on_test_model,best_single_auc,best_single_ece,best_single_brier,lift_gated_vs_mean_auc,lift_gated_vs_best_auc,lift_gated_vs_stack_auc,lift_gated_vs_mean_ece,lift_gated_vs_best_ece,lift_gated_vs_stack_ece
bridge2algebra2006,0,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",277809,353631,346,0.821643,0.00299,0.10384,0.815386,0.012555,0.105607,0.820759,0.003129,0.10412,simplekt,valid,simplekt,0.808154,0.008748,0.107026,0.006256,0.013489,0.000883,-0.009565,-0.005758,-0.000139
bridge2algebra2006,0,linear_gating,"dkt,sakt,akt,simplekt",277809,353631,-1,0.80471,0.036788,0.110156,0.815386,0.012555,0.105607,0.820759,0.003129,0.10412,simplekt,valid,simplekt,0.808154,0.008748,0.107026,-0.010676,-0.003443,-0.016049,0.024233,0.02804,0.033659
bridge2algebra2006,1,static_concept_weights,"dkt,sakt,akt,simplekt",287732,353631,364,0.822941,0.004135,0.103247,0.817539,0.013778,0.105074,0.822468,0.003673,0.103466,akt,valid,akt,0.807108,0.006646,0.107421,0.005402,0.015833,0.000472,-0.009643,-0.002512,0.000461
bridge2algebra2006,1,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",287732,353631,364,0.822991,0.002856,0.103341,0.817539,0.013778,0.105074,0.822468,0.003673,0.103466,akt,valid,akt,0.807108,0.006646,0.107421,0.005451,0.015883,0.000522,-0.010922,-0.00379,-0.000817
bridge2algebra2006,1,linear_gating,"dkt,sakt,akt,simplekt",287732,353631,-1,0.806904,0.042585,0.109926,0.817539,0.013778,0.105074,0.822468,0.003673,0.103466,akt,valid,akt,0.807108,0.006646,0.107421,-0.010636,-0.000204,-0.015565,0.028808,0.035939,0.038912
bridge2algebra2006,2,static_concept_weights,"dkt,sakt,akt,simplekt",302714,353631,373,0.822379,0.005171,0.103308,0.817788,0.013696,0.104887,0.822513,0.003611,0.103585,akt,valid,akt,0.807853,0.007181,0.107228,0.004592,0.014526,-0.000133,-0.008524,-0.00201,0.00156
bridge2algebra2006,2,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",302714,353631,373,0.822933,0.003803,0.103462,0.817788,0.013696,0.104887,0.822513,0.003611,0.103585,akt,valid,akt,0.807853,0.007181,0.107228,0.005146,0.01508,0.000421,-0.009892,-0.003378,0.000192
bridge2algebra2006,2,linear_gating,"dkt,sakt,akt,simplekt",302714,353631,-1,0.806838,0.037039,0.109522,0.817788,0.013696,0.104887,0.822513,0.003611,0.103585,akt,valid,akt,0.807853,0.007181,0.107228,-0.01095,-0.001015,-0.015675,0.023344,0.029858,0.033428
bridge2algebra2006,3,static_concept_weights,"dkt,sakt,akt,simplekt",308962,353631,376,0.820311,0.005135,0.103951,0.813889,0.015728,0.10619,0.819399,0.004295,0.1045,akt,valid,akt,0.806142,0.006656,0.107615,0.006423,0.014169,0.000913,-0.010593,-0.001521,0.000839
bridge2algebra2006,3,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",308962,353631,376,0.820629,0.003704,0.104161,0.813889,0.015728,0.10619,0.819399,0.004295,0.1045,akt,valid,akt,0.806142,0.006656,0.107615,0.006741,0.014487,0.001231,-0.012024,-0.002952,-0.000591
bridge2algebra2006,3,linear_gating,"dkt,sakt,akt,simplekt",308962,353631,-1,0.805279,0.040662,0.110442,0.813889,0.015728,0.10619,0.819399,0.004295,0.1045,akt,valid,akt,0.806142,0.006656,0.107615,-0.008609,-0.000863,-0.01412,0.024934,0.034006,0.036367
bridge2algebra2006,4,static_concept_weights,"dkt,sakt,akt,simplekt",283782,353631,369,0.821331,0.003642,0.103869,0.812903,0.015974,0.105799,0.819331,0.0021,0.104274,akt,valid,akt,0.806228,0.009248,0.107816,0.008428,0.015103,0.002,-0.012332,-0.005606,0.001542
bridge2algebra2006,4,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",283782,353631,369,0.820861,0.002978,0.104047,0.812903,0.015974,0.105799,0.819331,0.0021,0.104274,akt,valid,akt,0.806228,0.009248,0.107816,0.007958,0.014633,0.00153,-0.012995,-0.00627,0.000878
bridge2algebra2006,4,linear_gating,"dkt,sakt,akt,simplekt",283782,353631,-1,0.800877,0.030439,0.110014,0.812903,0.015974,0.105799,0.819331,0.0021,0.104274,akt,valid,akt,0.806228,0.009248,0.107816,-0.012027,-0.005351,-0.018455,0.014465,0.02119,0.028338
assist2012,0,static_concept_weights,"dkt,sakt,akt,simplekt",439766,536087,208,0.778567,0.001786,0.166071,0.771622,0.026284,0.169221,0.777844,0.002034,0.166303,akt,valid,akt,0.772909,0.014972,0.168261,0.006945,0.005659,0.000724,-0.024498,-0.013186,-0.000248
assist2012,0,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",439766,536087,208,0.778573,0.002119,0.166061,0.771622,0.026284,0.169221,0.777844,0.002034,0.166303,akt,valid,akt,0.772909,0.014972,0.168261,0.006951,0.005664,0.000729,-0.024164,-0.012852,8.6e-05
assist2012,0,linear_gating,"dkt,sakt,akt,simplekt",439766,536087,-1,0.771659,0.030577,0.17055,0.771622,0.026284,0.169221,0.777844,0.002034,0.166303,akt,valid,akt,0.772909,0.014972,0.168261,3.6e-05,-0.00125,-0.006185,0.004293,0.015605,0.028543
assist2012,1,static_concept_weights,"dkt,sakt,akt,simplekt",432602,536087,207,0.778928,0.003211,0.166014,0.771671,0.024466,0.169108,0.778036,0.002072,0.166272,akt,valid,akt,0.772772,0.014931,0.168316,0.007257,0.006156,0.000893,-0.021255,-0.01172,0.00114
assist2012,1,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",432602,536087,207,0.778692,0.002386,0.166058,0.771671,0.024466,0.169108,0.778036,0.002072,0.166272,akt,valid,akt,0.772772,0.014931,0.168316,0.007021,0.00592,0.000657,-0.022081,-0.012545,0.000314
assist2012,1,linear_gating,"dkt,sakt,akt,simplekt",432602,536087,-1,0.771395,0.029264,0.170605,0.771671,0.024466,0.169108,0.778036,0.002072,0.166272,akt,valid,akt,0.772772,0.014931,0.168316,-0.000276,-0.001378,-0.006641,0.004798,0.014333,0.027193
assist2012,2,static_concept_weights,"dkt,sakt,akt,simplekt",424912,536087,208,0.778502,0.002753,0.16613,0.770889,0.02433,0.169446,0.777755,0.001817,0.16635,akt,valid,akt,0.771734,0.014765,0.168718,0.007613,0.006768,0.000747,-0.021577,-0.012012,0.000936
assist2012,2,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",424912,536087,208,0.778389,0.001748,0.166148,0.770889,0.02433,0.169446,0.777755,0.001817,0.16635,akt,valid,akt,0.771734,0.014765,0.168718,0.0075,0.006654,0.000634,-0.022582,-0.013018,-7e-05
assist2012,2,linear_gating,"dkt,sakt,akt,simplekt",424912,536087,-1,0.770868,0.034432,0.171261,0.770889,0.02433,0.169446,0.777755,0.001817,0.16635,akt,valid,akt,0.771734,0.014765,0.168718,-2.1e-05,-0.000867,-0.006887,0.010102,0.019667,0.032615
assist2012,3,static_concept_weights,"dkt,sakt,akt,simplekt",419158,536087,205,0.778609,0.002627,0.166109,0.771283,0.024792,0.169284,0.777817,0.001637,0.166317,akt,valid,akt,0.771509,0.01414,0.168699,0.007327,0.0071,0.000792,-0.022165,-0.011514,0.000989
assist2012,3,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",419158,536087,205,0.778353,0.002159,0.166158,0.771283,0.024792,0.169284,0.777817,0.001637,0.166317,akt,valid,akt,0.771509,0.01414,0.168699,0.007071,0.006845,0.000536,-0.022633,-0.011982,0.000521
assist2012,3,linear_gating,"dkt,sakt,akt,simplekt",419158,536087,-1,0.771376,0.031247,0.170769,0.771283,0.024792,0.169284,0.777817,0.001637,0.166317,akt,valid,akt,0.771509,0.01414,0.168699,9.4e-05,-0.000132,-0.006441,0.006455,0.017106,0.029609
