dataset,fold,meta_learner,models_in_subset,n_valid,n_test,n_concepts_fit,gated_auc,gated_ece,gated_brier,mean_auc,mean_ece,mean_brier,stacked_auc,stacked_ece,stacked_brier,best_single_model,best_single_selected_on,best_single_on_test_model,best_single_auc,best_single_ece,best_single_brier,lift_gated_vs_mean_auc,lift_gated_vs_best_auc,lift_gated_vs_stack_auc,lift_gated_vs_mean_ece,lift_gated_vs_best_ece,lift_gated_vs_stack_ece
assist2009,3,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",59610,61904,98,0.846465,0.00987,0.148587,0.841158,0.030231,0.15207,0.846494,0.010095,0.148503,akt,valid,simplekt,0.829384,0.007244,0.155426,0.005306,0.01708,-3e-05,-0.020361,0.002626,-0.000225
assist2009,3,linear_gating,"dkt,sakt,akt,simplekt",59610,61904,-1,0.840081,0.04098,0.15481,0.841158,0.030231,0.15207,0.846494,0.010095,0.148503,akt,valid,simplekt,0.829384,0.007244,0.155426,-0.001078,0.010696,-0.006414,0.010749,0.033737,0.030885
assist2009,4,static_concept_weights,"dkt,sakt,akt,simplekt",53915,61904,94,0.849372,0.009272,0.147475,0.840472,0.03438,0.152427,0.847161,0.006899,0.148228,simplekt,valid,simplekt,0.83191,0.086021,0.165005,0.0089,0.017462,0.002211,-0.025108,-0.076749,0.002373
assist2009,4,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",53915,61904,94,0.848278,0.008358,0.147977,0.840472,0.03438,0.152427,0.847161,0.006899,0.148228,simplekt,valid,simplekt,0.83191,0.086021,0.165005,0.007805,0.016368,0.001117,-0.026022,-0.077663,0.001459
assist2009,4,linear_gating,"dkt,sakt,akt,simplekt",53915,61904,-1,0.841793,0.057789,0.154745,0.840472,0.03438,0.152427,0.847161,0.006899,0.148228,simplekt,valid,simplekt,0.83191,0.086021,0.165005,0.00132,0.009883,-0.005368,0.023409,-0.028232,0.050889
assist2015,0,static_concept_weights,"dkt,sakt,akt,simplekt",102749,134592,100,0.728832,0.005966,0.169845,0.728645,0.006326,0.169923,0.730553,0.004172,0.16949,dkt,valid,dkt,0.726964,0.010352,0.170568,0.000187,0.001868,-0.001721,-0.00036,-0.004386,0.001794
assist2015,0,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",102749,134592,100,0.730773,0.004529,0.169435,0.728645,0.006326,0.169923,0.730553,0.004172,0.16949,dkt,valid,dkt,0.726964,0.010352,0.170568,0.002127,0.003809,0.00022,-0.001797,-0.005823,0.000357
assist2015,0,linear_gating,"dkt,sakt,akt,simplekt",102749,134592,-1,0.722944,0.025887,0.171858,0.728645,0.006326,0.169923,0.730553,0.004172,0.16949,dkt,valid,dkt,0.726964,0.010352,0.170568,-0.005701,-0.004019,-0.007609,0.019561,0.015534,0.021714
assist2015,1,static_concept_weights,"dkt,sakt,akt,simplekt",103583,134592,100,0.729401,0.006176,0.169683,0.728483,0.006123,0.16989,0.730322,0.00414,0.169501,dkt,valid,dkt,0.726292,0.008552,0.170638,0.000917,0.003108,-0.000922,5.3e-05,-0.002377,0.002036
assist2015,1,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",103583,134592,100,0.730251,0.004354,0.169505,0.728483,0.006123,0.16989,0.730322,0.00414,0.169501,dkt,valid,dkt,0.726292,0.008552,0.170638,0.001767,0.003958,-7.2e-05,-0.001769,-0.004199,0.000214
assist2015,1,linear_gating,"dkt,sakt,akt,simplekt",103583,134592,-1,0.724034,0.028056,0.171653,0.728483,0.006123,0.16989,0.730322,0.00414,0.169501,dkt,valid,dkt,0.726292,0.008552,0.170638,-0.00445,-0.002259,-0.006289,0.021933,0.019503,0.023916
assist2015,2,static_concept_weights,"dkt,sakt,akt,simplekt",104370,134592,99,0.729328,0.006369,0.16978,0.729014,0.003635,0.169822,0.730918,0.003933,0.169407,dkt,valid,dkt,0.727098,0.010102,0.170562,0.000314,0.002229,-0.001591,0.002734,-0.003733,0.002436
assist2015,2,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",104370,134592,99,0.730914,0.004814,0.169419,0.729014,0.003635,0.169822,0.730918,0.003933,0.169407,dkt,valid,dkt,0.727098,0.010102,0.170562,0.0019,0.003816,-4e-06,0.001178,-0.005288,0.000881
assist2015,2,linear_gating,"dkt,sakt,akt,simplekt",104370,134592,-1,0.723269,0.030275,0.171947,0.729014,0.003635,0.169822,0.730918,0.003933,0.169407,dkt,valid,dkt,0.727098,0.010102,0.170562,-0.005745,-0.003829,-0.007649,0.02664,0.020173,0.026342
