dataset,fold,subset,meta_learner,models_in_subset,best_single_model,best_single_selected_on,n_valid,n_test,n_students,stacked_auc,best_single_auc,delta_auc,auc_ci_low,auc_ci_high,auc_p,stacked_ece,best_single_ece,delta_ece,ece_ci_low,ece_ci_high,ece_p,auc_p_holm,auc_p_reject_holm,ece_p_holm,ece_p_reject_holm
assist2015,1,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,106663,138458,3818,0.706939,0.698996,0.007943,0.006736,0.009254,0.0,0.006968,0.00726,-0.000292,-0.002437,0.002058,0.873,0.0,True,1.0,False
assist2015,1,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,106663,138458,3818,0.706941,0.698996,0.007945,0.006737,0.009256,0.0,0.006989,0.00726,-0.000272,-0.002419,0.002083,0.883,0.0,True,1.0,False
assist2015,1,classical,bma,"bkt,pfa,pfa_recency,elorasch",bkt,valid,106663,138458,3818,0.698996,0.698996,0.0,0.0,0.0,1.0,0.00726,0.00726,0.0,0.0,0.0,1.0,1.0,False,1.0,False
assist2015,1,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,106663,138458,3818,0.710487,0.698996,0.011491,0.010112,0.012988,0.0,0.005992,0.00726,-0.001268,-0.003274,0.001333,0.42,0.0,True,1.0,False
assist2015,1,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,106663,138458,3818,0.708689,0.698996,0.009692,0.008385,0.011107,0.0,0.008108,0.00726,0.000848,-0.002862,0.004414,0.631,0.0,True,1.0,False
assist2015,2,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,107443,138458,3818,0.707186,0.699136,0.008051,0.00674,0.009528,0.0,0.00737,0.006997,0.000373,-0.002306,0.002458,0.965,0.0,True,1.0,False
assist2015,2,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,107443,138458,3818,0.707187,0.699136,0.008051,0.006739,0.009529,0.0,0.007377,0.006997,0.00038,-0.002275,0.002406,0.966,0.0,True,1.0,False
assist2015,2,classical,bma,"bkt,pfa,pfa_recency,elorasch",bkt,valid,107443,138458,3818,0.699136,0.699136,0.0,0.0,0.0,1.0,0.006997,0.006997,0.0,0.0,0.0,1.0,1.0,False,1.0,False
assist2015,2,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,107443,138458,3818,0.710519,0.699136,0.011384,0.009878,0.012987,0.0,0.005601,0.006997,-0.001396,-0.003667,0.001256,0.338,0.0,True,1.0,False
assist2015,2,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,107443,138458,3818,0.705833,0.699136,0.006697,0.005451,0.008055,0.0,0.006454,0.006997,-0.000544,-0.003485,0.002951,0.773,0.0,True,1.0,False
assist2015,3,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,112027,138458,3818,0.706967,0.698987,0.00798,0.006667,0.009365,0.0,0.004517,0.008391,-0.003874,-0.005467,-8.8e-05,0.042,0.0,True,1.0,False
assist2015,3,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,112027,138458,3818,0.706967,0.698987,0.00798,0.006667,0.009365,0.0,0.004517,0.008391,-0.003874,-0.005467,-8.8e-05,0.042,0.0,True,1.0,False
assist2015,3,classical,bma,"bkt,pfa,pfa_recency,elorasch",bkt,valid,112027,138458,3818,0.698987,0.698987,0.0,0.0,0.0,1.0,0.008391,0.008391,0.0,0.0,0.0,1.0,1.0,False,1.0,False
assist2015,3,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,112027,138458,3818,0.709964,0.698987,0.010978,0.009472,0.012641,0.0,0.004641,0.008391,-0.003751,-0.005541,-0.000145,0.038,0.0,True,0.95,False
