dataset,fold,granularity,meta_learner,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,gated_auc,gated_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,stacked_ece,delta_ece_vs_stack,ece_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm
bridge2algebra2006,2,question,static_concept_weights,akt,valid,352370,229,cluster,0.821136,0.005448,0.807446,0.01369,0.012341,0.014942,0.001,0.007236,-0.001788,0.322839,0.821535,-0.000399,-0.001088,0.000307,0.289855,0.003645,0.001802,0.062969,0.015,True,0.322839,False,0.7886070000000001,False,0.62969,False
bridge2algebra2006,2,question,global_stack_concept_intercept,akt,valid,352370,229,cluster,0.821963,0.00376,0.807446,0.014517,0.012914,0.016003,0.001,0.007236,-0.003476,0.074963,0.821535,0.000428,0.000116,0.000744,0.007996,0.003645,0.000115,0.875562,0.015,True,0.25987,False,0.047976,True,1.0,False
bridge2algebra2006,2,question,linear_gating,akt,valid,352370,229,cluster,0.806118,0.037011,0.807446,-0.001328,-0.003232,0.000443,0.146927,0.007236,0.029775,0.001,0.821535,-0.015417,-0.016395,-0.014496,0.001,0.003645,0.033365,0.001,0.36282000000000003,False,0.015,True,0.015,True,0.015,True
bridge2algebra2006,3,question,static_concept_weights,akt,valid,352370,229,cluster,0.819319,0.005199,0.805745,0.013574,0.012192,0.014907,0.001,0.006766,-0.001568,0.051974,0.818379,0.00094,0.00025,0.001656,0.013993,0.004311,0.000888,0.257871,0.015,True,0.25987,False,0.059969999999999996,False,1.0,False
bridge2algebra2006,3,question,global_stack_concept_intercept,akt,valid,352370,229,cluster,0.819734,0.003735,0.805745,0.013989,0.0125,0.015359,0.001,0.006766,-0.003031,0.005997,0.818379,0.001356,0.000843,0.001857,0.001,0.004311,-0.000576,0.597701,0.015,True,0.041978999999999995,True,0.015,True,1.0,False
bridge2algebra2006,3,question,linear_gating,akt,valid,352370,229,cluster,0.804403,0.040908,0.805745,-0.001342,-0.003052,0.000316,0.12094,0.006766,0.034142,0.001,0.818379,-0.013975,-0.014988,-0.01305,0.001,0.004311,0.036597,0.001,0.36282000000000003,False,0.015,True,0.015,True,0.015,True
bridge2algebra2006,4,question,static_concept_weights,akt,valid,352370,229,cluster,0.820222,0.0037,0.805861,0.014361,0.013102,0.015608,0.001,0.009314,-0.005613,0.001,0.818336,0.001886,0.001026,0.002751,0.001,0.002115,0.001586,0.228886,0.015,True,0.015,True,0.015,True,1.0,False
bridge2algebra2006,4,question,global_stack_concept_intercept,akt,valid,352370,229,cluster,0.820026,0.002789,0.805861,0.014165,0.012745,0.015516,0.001,0.009314,-0.006524,0.001,0.818336,0.001691,0.001258,0.002119,0.001,0.002115,0.000675,0.806597,0.015,True,0.015,True,0.015,True,1.0,False
bridge2algebra2006,4,question,linear_gating,akt,valid,352370,229,cluster,0.799937,0.030456,0.805861,-0.005924,-0.007937,-0.004104,0.001,0.009314,0.021142,0.001,0.818336,-0.018399,-0.019643,-0.017247,0.001,0.002115,0.028341,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2012,0,question,static_concept_weights,akt,valid,536087,5497,cluster,0.778567,0.001781,0.772909,0.005659,0.005228,0.006091,0.001,0.014961,-0.013179,0.001,0.777844,0.000724,0.000452,0.000983,0.001,0.002019,-0.000238,0.572714,0.015,True,0.015,True,0.015,True,1.0,False
